anime_id,character_id,name,role,favorites
55791,188038,"Arima, Kana",Main,7920.0
55791,185313,"Hoshino, Aquamarine",Main,4978.0
55791,195178,"Kurokawa, Akane",Main,4803.0
55791,252088,"Adashino, Mei",Supporting,5.0
55791,254189,Akane's Father,Supporting,0.0
55791,251112,Akane's Mother,Supporting,0.0
55791,227224,"Amamiya, Gorou",Supporting,162.0
55791,256292,"Anemone, Monemone",Supporting,0.0
55791,252092,"Funato, Ryouma",Supporting,0.0
55791,249455,GOA,Supporting,1.0
55791,189840,"Gotanda, Taishi",Supporting,205.0
55791,252091,"Hayashibara, Kiiro",Supporting,0.0
55791,234197,"Himekawa, Airi",Supporting,1.0
55791,205365,"Himekawa, Taiki",Supporting,12.0
55791,255657,Himura,Supporting,1.0
55791,188037,"Hoshino, Ai",Supporting,7500.0
55791,186921,"Hoshino, Ruby",Supporting,2486.0
55791,208889,"Kaburagi, Masaya",Supporting,0.0
55791,225342,"Kamiki, Hikaru",Supporting,39.0
55791,245593,"Kamoshida, Sakuya",Supporting,2.0
55791,256746,"Katayose, Yura",Supporting,0.0
55791,229178,"Kichijouji, Yoriko",Supporting,9.0
55791,249461,"Kindaichi, Toshirou",Supporting,0.0
55791,208887,"Kotobuki, Minami",Supporting,24.0
55791,208885,"Kumano, Nobuyuki",Supporting,2.0
55791,199940,Mem-Cho,Supporting,755.0
55791,252090,"Mita, Norio",Supporting,0.0
55791,208886,"Morimoto, Kengo",Supporting,2.0
55791,201315,"Narushima, Melt",Supporting,38.0
55791,204643,"Raida, Sumiaki",Supporting,3.0
55791,189839,"Saitou, Miyako",Supporting,348.0
55791,202179,"Samejima, Abiko",Supporting,77.0
55791,208888,"Shiranui, Frill",Supporting,29.0
55791,229629,"Sumi, Yuki",Supporting,10.0
55791,228798,Taishi's Mother,Supporting,1.0
55791,227225,"Tendouji, Sarina",Supporting,122.0
55791,235318,Tsukuyomi,Supporting,16.0
55791,252089,"Yoshidomi, Koyuki",Supporting,0.0
54744,195230,"Kujou, Alisa Mikhailovna",Main,2350.0
54744,195229,"Kuze, Masachika",Main,376.0
54744,252087,Andou,Supporting,0.0
54744,255397,Elementary School Teacher,Supporting,0.0
54744,240419,"Kenzaki, Touya",Supporting,4.0
54744,207920,"Kimishima, Ayano",Supporting,74.0
54744,242158,"Kiyomiya, Hikaru",Supporting,3.0
54744,255331,"Kujou, Akemi",Supporting,8.0
54744,205633,"Kujou, Maria Mikhailovna",Supporting,391.0
54744,252815,"Kuze, Kyoutarou",Supporting,0.0
54744,255330,"Kuze, Tomohisa",Supporting,1.0
54744,242157,"Maruyama, Takeshi",Supporting,3.0
54744,207929,"Miyamae, Nonoa",Supporting,54.0
54744,207924,"Sarashina, Chisaki",Supporting,19.0
54744,255051,"Suou, Gensei",Supporting,0.0
54744,253550,"Suou, Yumi",Supporting,2.0
54744,195231,"Suou, Yuki",Supporting,1534.0
54744,207936,"Taniyama, Sayaka",Supporting,7.0
58059,242683,"Serfort, Elfaria Albis",Main,140.0
58059,242682,"Serfort, Will",Main,115.0
58059,250185,"Alerht, Lunais",Supporting,0.0
58059,250190,"Alf, Ellenor Ljos",Supporting,1.0
58059,254812,"Alfeld, Sarissa",Supporting,0.0
58059,250187,"Anouve, Caldron",Supporting,0.0
58059,250183,"Baret, Gordon",Supporting,0.0
58059,254107,"Challia, Filvis",Supporting,0.0
58059,253018,Donnan,Supporting,0.0
58059,256159,Fin,Supporting,0.0
58059,253772,Gina,Supporting,0.0
58059,255789,Headless,Supporting,0.0
58059,254344,"Holland, Rogue",Supporting,0.0
58059,243800,Kiki,Supporting,18.0
58059,254343,"Klever, Emma",Supporting,0.0
58059,245624,"Lindor, Wignall",Supporting,1.0
58059,250192,Logwell,Supporting,0.0
58059,243799,"Loire, Colette",Supporting,31.0
58059,255651,"Mainy, Karen",Supporting,0.0
58059,253771,"Maius, Mike",Supporting,0.0
58059,255214,"Marcus, Bruno",Supporting,0.0
58059,254850,"Marteau, Flip",Supporting,0.0
58059,255213,Marze,Supporting,0.0
58059,250184,"Marze, Lyril",Supporting,0.0
58059,250186,"Moraine, Jhorua",Supporting,0.0
58059,252340,Narrator,Supporting,0.0
58059,248940,"Nauman, Rosti",Supporting,10.0
58059,248941,"Norgram, Workner",Supporting,2.0
58059,255476,"Nosferat, Eliza",Supporting,0.0
58059,250191,"Oldeking, Aron Masterius",Supporting,0.0
58059,245623,"Owenzaus, Lihanna",Supporting,32.0
58059,253017,"Prehnite, Rose",Supporting,0.0
58059,225024,"Reinberg, Julius",Supporting,1.0
58059,250189,"Reinbolt, Zeo Torzeus",Supporting,3.0
58059,248942,"Serfence, Edward",Supporting,1.0
58059,254105,"Snoke, Palm",Supporting,0.0
58059,250182,"Stellamaris, Iris X.",Supporting,0.0
58059,243801,"Ulster, Sion",Supporting,7.0
58059,254106,"Viridis, Lefiya",Supporting,0.0
58059,250188,"Wiseman, Cariott Incindia",Supporting,0.0
52635,178105,"Ja, Wangnan",Main,100.0
52635,175670,Twenty-Fifth Bam,Main,2543.0
52635,179995,"Akraptor, Hon",Supporting,3.0
52635,256374,"Amae, Sophia",Supporting,0.0
52635,255426,Announcer,Supporting,0.0
52635,255442,Apple,Supporting,0.0
52635,254861,Augusgus,Supporting,0.0
52635,255502,"Blarode, Chang",Supporting,0.0
52635,178910,"Blitz, Quant",Supporting,9.0
52635,255501,"Blitz, Quaetro",Supporting,0.0
52635,255446,Bruce,Supporting,0.0
52635,256291,"Cassano, Beniamino",Supporting,0.0
52635,253991,"Edin, Dan",Supporting,0.0
52635,254206,"Edrok, Alumik",Supporting,0.0
52635,256659,Emile,Supporting,0.0
52635,255444,Fake Viole,Supporting,0.0
52635,256660,Great Teacher,Supporting,0.0
52635,255443,Gyetang,Supporting,1.0
52635,178904,"Ha, Jinsung",Supporting,94.0
52635,178108,Hatz,Supporting,162.0
52635,178106,Hwaryun,Supporting,626.0
52635,178907,"Jahad, Khun Maschenny",Supporting,39.0
52635,175865,"Jahad, Endorsi",Supporting,1240.0
52635,175866,"Jahad, Ha Yuri",Supporting,977.0
