character_id,voice_actor_id,voice_actor_name,voice_actor_language
188038,12961,"Han, Megumi",Japanese
188038,35669,"Rial, Natalie",English
185313,48047,"Ootsuka, Takeo",Japanese
185313,61047,"Stansbury, Jack",English
185313,46158,"Moore, Chaney",English
195178,44317,"Iwami, Manaka",Japanese
195178,38385,"McGuire, Kristen",English
252088,32943,"Sekine, Akira",Japanese
252088,43589,"Molano, Melissa",English
254189,10148,"Takahashi, Shinya",Japanese
251112,35381,"Oi, Marie",Japanese
227224,41297,"Itou, Kent",Japanese
227224,61050,"Gee, Jeremy",English
256292,140,Yukana,Japanese
252092,48025,"Tsuyuzaki, Wataru",Japanese
249455,212,"Ono, Daisuke",Japanese
249455,12399,"Godwin, Dylan",English
189840,801,"Kase, Yasuyuki",Japanese
189840,24511,"Mahany, Ty",English
252091,40432,"Sawashiro, Chiharu",Japanese
252091,75294,"Forsyth, Scott D.",English
234197,,,
205365,1764,"Uchiyama, Kouki",Japanese
205365,36888,"Mills, Daman",English
255657,183,"Hirakawa, Daisuke",Japanese
188037,34785,"Takahashi, Rie",Japanese
188037,64402,"Litton, Donna Bella",English
186921,62593,"Igoma, Yurie",Japanese
186921,51269,"Marek, Alyssa",English
208889,563,"Terasoma, Masaki",Japanese
225342,65,"Miyano, Mamoru",Japanese
245593,26705,"Kobayashi, Yuusuke",Japanese
245593,77897,"Swasey, Joshua",English
256746,48048,"Hasegawa, Ikumi",Japanese
229178,93,"Itou, Shizuka",Japanese
229178,58221,"Greenshield, Kelly",English
249461,1520,"Shimura, Tomoyuki",Japanese
249461,40618,"Galindo, Luis",English
208887,53824,"Youmiya, Hina",Japanese
208887,25719,"Lauda, Brittany",English
208885,51716,"Ono, Tomohiro",Japanese
208885,37373,"Gibbs, Scott",English
199940,12041,"Ookubo, Rumi",Japanese
199940,24439,"Simmons, Juliet",English
252090,7288,"Okitsu, Kazuyuki",Japanese
252090,64400,"House, Cody",English
208886,47739,"Ban, Taito",Japanese
208886,17243,"Gibbs, Adam",English
201315,48166,"Maeda, Seiji",Japanese
201315,43847,"Baugus, Bryson",English
204643,5,"Suzumura, Kenichi",Japanese
204643,42373,"Saab, Alejandro",English
189839,10929,Lynn,Japanese
189839,38724,"Kelly, Christina",English
202179,11622,"Sakura, Ayane",Japanese
202179,6729,"Saxton, Jad",English
208888,11787,"Seto, Asami",Japanese
208888,59207,"Wild, Annie",English
229629,19884,"Oonishi, Saori",Japanese
229629,35671,"Swasey, Olivia",English
228798,294,"Saitou, Kimiko",Japanese
228798,12610,"Bannor, Marcy",English
227225,45241,"Takayanagi, Tomoyo",Japanese
235318,40903,"Kino, Hina",Japanese
252089,53810,"Mizuno, Saku",Japanese
252089,50259,"Thomas, Catherine",English
195230,14441,"Uesaka, Sumire",Japanese
195230,6676,"Natochenny, Sarah",English
195230,64565,"Quinto, Bruna",Portuguese (BR)
195230,58290,"Huerta, Polly",Spanish
195230,45799,"Dzyadyk, Lisa",German
195230,55995,"Khakhoulia, Zina",French
195229,38438,"Amasaki, Kouhei",Japanese
195229,53752,"Kazama, Mayuko",Japanese
195229,68740,"Lundquist, Erin Nicole",English
195229,254,"Dismuke, Aaron",English
195229,44016,"Luiz, Ítalo",Portuguese (BR)
195229,21839,"Ruiz, Miguel Ángel",Spanish
195229,9910,"Laurent, Arnaud",French
195229,56335,"Carmes, Mathilde",French
195229,77963,"Nava, Sandra",Spanish
195229,36980,"Zeiger, Christian",German
252087,51716,"Ono, Tomohiro",Japanese
252087,73911,"Huber, Nick",English
252087,43629,"Gesteira, Yan",Portuguese (BR)
252087,55025,"Niverd, Victor",French
255397,56951,"Piau, Anne-Charlotte",French
240419,20156,"Ishikawa, Kaito",Japanese
240419,43670,"Gama, Lucas",Portuguese (BR)
240419,50616,"Campbell, Aaron",English
240419,56329,"Portugais, Julien",French
240419,63341,"Frausto, Dan",Spanish
207920,46861,"Aizawa, Saya",Japanese
207920,72056,"Danae, Rebecca",English
207920,52973,"Vieira, Jéssica",Portuguese (BR)
207920,57316,"Becerril, Alessia",Spanish
207920,77521,"Demontis, Océane",French
242158,44249,"Ichikawa, Taichi",Japanese
242158,60893,"Waters, Joshua",English
242158,43718,"Tatini, Adrian",Portuguese (BR)
242158,62763,"Ferenc, Tom",German
242158,57715,"Mège, Baptiste",French
255331,195,"Inoue, Kikuko",Japanese
255331,5136,"Quinto, Letícia",Portuguese (BR)
205633,11162,"Fujii, Yukiyo",Japanese
205633,41966,"Harris, Jill",English
205633,20094,"Alencar, Bianca",Portuguese (BR)
205633,57300,"Miranda, Azucena",Spanish
205633,56474,"Philippe, Lauryanne",French
205633,21413,"Pietermann, Gabrielle",German
252815,341,"Nojima, Hirofumi",Japanese
252815,57329,"Hernández, Carlos",Spanish
252815,7318,"Adriano, Peterson",Portuguese (BR)
252815,26503,"Zylberberg, Jérémy",French
255330,800,"Tsuji, Shinpachi",Japanese
255330,45005,"Gesteira, Carlos",Portuguese (BR)
242157,33081,"Sakai, Koudai",Japanese
242157,66429,"Wilder, Corey",English
242157,55764,"Estefanuto, Vini",Portuguese (BR)
242157,57606,"Gimbord, Jonathan",French
207929,24269,"Aoyama, Yoshino",Japanese
207929,33051,"Wiedenheft, Sarah",English
207929,59292,"Vela, Lily",Spanish
207929,67061,"Piragibe, Roberta",Portuguese (BR)
207929,57753,"Bescht, Valérie",French
207924,46800,"Kawase, Maki",Japanese
207924,38427,"Krantz, Mikaela",English
207924,52970,"Menezes, Bia",Portuguese (BR)
207924,57804,"Guevara, Amellalli",Spanish
207924,57000,"Lemineur, Cindy",French
255051,236,"Touchi, Hiroki",Japanese
255051,43965,"Persy, Luiz Carlos",Portuguese (BR)
253550,93,"Itou, Shizuka",Japanese
253550,55949,"Manso, Amanda",Portuguese (BR)
253550,56335,"Carmes, Mathilde",French
195231,53042,"Maruoka, Wakana",Japanese
195231,60881,"Mae, Reshel",English
195231,43999,"Celini, Letícia",Portuguese (BR)
195231,57428,"Nolan, Diana",Spanish
195231,56330,"Lauzeray Gishi, Anna",French
207936,48048,"Hasegawa, Ikumi",Japanese
207936,66579,"Raine, Izzi",English
207936,56335,"Carmes, Mathilde",French
207936,56911,"Calegaretti, Giovanna",Portuguese (BR)
207936,69543,"Feria, Sara",Spanish
242683,32943,"Sekine, Akira",Japanese
242683,59351,"Cruz, Kelsey",English
242683,11667,"Narciso, Flávia",Portuguese (BR)
242683,58290,"Huerta, Polly",Spanish
242683,26697,"Liénart, Laetitia",French
242683,74442,"Bielenberg, Muriel",German
242682,38438,"Amasaki, Kouhei",Japanese
242682,66429,"Wilder, Corey",English
242682,52953,"Mello, Vitor",Portuguese (BR)
242682,26959,"Delmotte, Thibaut",French
242682,23601,"Strobl, Amadeus",German
242682,54016,"Hinata, Minami",Japanese
250185,10148,"Takahashi, Shinya",Japanese
250190,21517,"Amamiya, Sora",Japanese
250190,53018,"Pazete, Natali",Portuguese (BR)
250190,55023,"Braam, Marie",French
250190,24063,"Searcy, Molly",English
254812,9108,"Shimizu, Ayaka",Japanese
254812,40626,"Borges, Angelica",Portuguese (BR)
254812,24867,"Landerwyn, Marie-Line",French
250187,6504,"Suzuki, Reiko",Japanese
250187,43826,"Baroli, Rosa Maria",Portuguese (BR)
250187,25669,"Stas, Nathalie",French
250183,52590,"Ura, Kazuki",Japanese
250183,65241,"Stimac, Michael",English
250183,66188,"Carvalho, Gustavo",Portuguese (BR)
250183,21405,"Bevilacqua, Alessandro",French
254107,8555,"Kanemoto, Hisako",Japanese
254107,52902,"Guioli, Aline",Portuguese (BR)
254107,25669,"Stas, Nathalie",French
253018,11141,"Sugisaki, Ryou",Japanese
253018,46586,"Rossatto, Ricardo",Portuguese (BR)
253018,10668,"Mathis, Brian",English
256159,10013,"Tamura, Mutsumi",Japanese
256159,603,"Emerick, Shannon",English
253772,44499,"Yaoya, Kyou",Japanese
253772,63225,"Nieto, Lexi",English
253772,72945,"Lopes, Rita",Portuguese (BR)
253772,55632,"Hons, Nathalie",French
255789,52939,"Follare, Wagner",Portuguese (BR)
254344,8639,"Tamaru, Atsushi",Japanese
254344,44272,"Rowe, Adam",English
254344,9935,"Praet, Grégory",French
243800,42436,"Inase, Aoi",Japanese
243800,40566,"Hale, Lynsey",English
243800,73955,"Filardy, Monique",Portuguese (BR)
243800,77525,"Teuwen, Marie-Ange",French
243800,72799,"Martínez, Rosa María",Spanish
243800,77577,"Dinh, May",German
254343,48122,"Suzushiro, Sayumi",Japanese
254343,60287,"Alyea, Hannah",English
245624,15877,"Kawanishi, Kengo",Japanese
245624,5141,"Kumode, Robson",Portuguese (BR)
245624,50615,"McNamara, Blake",English
245624,55179,"Lemaire, Brieuc",French
250192,146,"Ootsuka, Akio",Japanese
250192,73911,"Huber, Nick",English
250192,45367,"Parisi, Milton",Portuguese (BR)
243799,49776,"Amano, Satomi",Japanese
243799,59414,"Pettit, Corey",English
243799,43997,"Vidal, Sicília",Portuguese (BR)
243799,59466,"Ornelas, Fernanda",Spanish
243799,57511,"Castin, Aurélie",French
243799,44141,"Bautz, Julia",German
255651,55024,"Pyronnet, Sophie",French
253771,6968,"Kousaka, Atsushi",Japanese
253771,47981,"Cucinotti, Joe",English
255214,10148,"Takahashi, Shinya",Japanese
254850,51716,"Ono, Tomohiro",Japanese
254850,66407,"Caster, Gerard",English
255213,270,"Okamoto, Nobuhiko",Japanese
255213,9909,"Hébrant, Sébastien",French
255213,24429,"Bryant, Ben",English
255213,65227,"Machline, Daniel",Portuguese (BR)
250184,51716,"Ono, Tomohiro",Japanese
250184,60905,"Bonner, Tristan",English
250184,68978,"Alves, Cassio",Portuguese (BR)
250184,56121,"Pirard, Stéphane",French
250184,68199,"Rodríguez Ramírez, Ángel Iván",Spanish
250186,8639,"Tamaru, Atsushi",Japanese
252340,10013,"Tamura, Mutsumi",Japanese
252340,603,"Emerick, Shannon",English
252340,21405,"Bevilacqua, Alessandro",French
252340,52953,"Mello, Vitor",Portuguese (BR)
248940,57452,"Locqueneux, Damien",French
248940,58290,"Huerta, Polly",Spanish
248941,1,"Seki, Tomokazu",Japanese
248941,12026,"Foronda, Jim",English
248941,52934,"Santhos, Leonardo",Portuguese (BR)
248941,21401,"Crépet, Alexandre",French
248941,21355,"Vázquez, Carlo",Spanish
248941,42548,"Reinbold, Marco",German
255476,70,"Koshimizu, Ami",Japanese
255476,60288,"Lerner, Monét",English
255476,46257,"Carvalho, Teline",Portuguese (BR)
250191,337,"Ootsuka, Houchuu",Japanese
245623,10929,Lynn,Japanese
245623,66578,"Noble, Erin Kelly",English
245623,46375,"Porto, Luiza",Portuguese (BR)
245623,55024,"Pyronnet, Sophie",French
253017,46800,"Kawase, Maki",Japanese
253017,55023,"Braam, Marie",French
225024,167,"Kakihara, Tetsuya",Japanese
225024,54035,"Michael, Aaron",English
225024,46009,"Volpato, Felipe",Portuguese (BR)
225024,57742,"Thomas, Benjamin",French
250189,17635,"Furukawa, Makoto",Japanese
250189,55712,"Mendonça, Fernando",Portuguese (BR)
250189,78359,"Mota, Ángel",Spanish
250189,33799,"Stimac, Marcus D.",English
248942,68,"Yusa, Kouji",Japanese
248942,7522,"Parsons, Phil",English
248942,21197,"Lima, Diego",Portuguese (BR)
248942,26731,"Matthys, Nicolas",French
248942,57299,"López, Óscar",Spanish
248942,40192,"Sierich, Bastian",German
254105,29347,"Tezuka, Hiromichi",Japanese
250182,12041,"Ookubo, Rumi",Japanese
250182,159,"Rial, Monica",English
